"","commongenes"
"1","A1BG"
"2","A2M"
"3","A4GALT"
"4","AAAS"
"5","AACS"
"6","AAMDC"
"7","AAMP"
"8","AAR2"
"9","AARS1"
"10","AARS2"
"11","AARSD1"
"12","AASDH"
"13","AATF"
"14","AATK"
"15","ABCA1"
"16","ABCA3"
"17","ABCB10"
"18","ABCB6"
"19","ABCB7"
"20","ABCB9"
"21","ABCC1"
"22","ABCC10"
"23","ABCC3"
"24","ABCC5"
"25","ABCC6"
"26","ABCD1"
"27","ABCE1"
"28","ABCF1"
"29","ABCF2"
"30","ABCF3"
"31","ABHD10"
"32","ABHD11"
"33","ABHD12"
"34","ABHD13"
"35","ABHD14A"
"36","ABHD14B"
"37","ABHD15"
"38","ABHD16A"
"39","ABHD17A"
"40","ABHD17B"
"41","ABHD18"
"42","ABHD2"
"43","ABHD3"
"44","ABHD4"
"45","ABHD5"
"46","ABHD6"
"47","ABI1"
"48","ABI3"
"49","ABL1"
"50","ABL2"
"51","ABLIM1"
"52","ABLIM2"
"53","ABLIM3"
"54","ABR"
"55","ABRAXAS2"
"56","ABTB2"
"57","ACAA1"
"58","ACAA2"
"59","ACACB"
"60","ACAD11"
"61","ACAD8"
"62","ACAD9"
"63","ACADM"
"64","ACADS"
"65","ACADSB"
"66","ACADVL"
"67","ACAP1"
"68","ACAP3"
"69","ACAT1"
"70","ACAT2"
"71","ACBD3"
"72","ACBD4"
"73","ACBD5"
"74","ACBD6"
"75","ACCS"
"76","ACD"
"77","ACE2"
"78","ACER3"
"79","ACIN1"
"80","ACKR1"
"81","ACKR3"
"82","ACLY"
"83","ACO1"
"84","ACO2"
"85","ACOT13"
"86","ACOT8"
"87","ACOT9"
"88","ACOX1"
"89","ACOX2"
"90","ACP1"
"91","ACP2"
"92","ACP5"
"93","ACP6"
"94","ACSF2"
"95","ACSF3"
"96","ACSL3"
"97","ACSL4"
"98","ACSM3"
"99","ACSS1"
"100","ACSS2"
"101","ACTA2"
"102","ACTB"
"103","ACTG1"
"104","ACTL10"
"105","ACTL6A"
"106","ACTN1"
"107","ACTN4"
"108","ACTR10"
"109","ACTR1A"
"110","ACTR1B"
"111","ACTR2"
"112","ACTR3"
"113","ACTR5"
"114","ACTR6"
"115","ACTRT3"
"116","ACVR1"
"117","ACVR1B"
"118","ACVRL1"
"119","ACY1"
"120","ACY3"
"121","ACYP1"
"122","ACYP2"
"123","ADA"
"124","ADA2"
