"Fold","Model","Dataset","Metric","Value"
"Fold_1","lasso","Internal","Accuracy",1
"Fold_1","lasso","Internal","Accuracy_lower",0.954935964932308
"Fold_1","lasso","Internal","Accuracy_upper",1
"Fold_1","lasso","Internal","BalancedAccuracy",1
"Fold_1","lasso","Internal","Kappa",1
"Fold_1","lasso","Internal","Sensitivity",1
"Fold_1","lasso","Internal","Specificity",1
"Fold_1","lasso","Internal","AUC",1
"Fold_1","lasso","Internal","AUC_CI_Lower",1
"Fold_1","lasso","Internal","AUC_CI_Upper",1
"Fold_1","lasso","Internal","Brier",0.0177742924122741
"Fold_1","glmnet","Internal","Accuracy",0.9875
"Fold_1","glmnet","Internal","Accuracy_lower",0.932312215536078
"Fold_1","glmnet","Internal","Accuracy_upper",0.999683577472367
"Fold_1","glmnet","Internal","BalancedAccuracy",0.991666666666667
"Fold_1","glmnet","Internal","Kappa",0.967213114754098
"Fold_1","glmnet","Internal","Sensitivity",0.983333333333333
"Fold_1","glmnet","Internal","Specificity",1
"Fold_1","glmnet","Internal","AUC",1
"Fold_1","glmnet","Internal","AUC_CI_Lower",1
"Fold_1","glmnet","Internal","AUC_CI_Upper",1
"Fold_1","glmnet","Internal","Brier",0.0240026223323742
"Fold_1","rf","Internal","Accuracy",1
"Fold_1","rf","Internal","Accuracy_lower",0.954935964932308
"Fold_1","rf","Internal","Accuracy_upper",1
"Fold_1","rf","Internal","BalancedAccuracy",1
"Fold_1","rf","Internal","Kappa",1
"Fold_1","rf","Internal","Sensitivity",1
"Fold_1","rf","Internal","Specificity",1
"Fold_1","rf","Internal","AUC",1
"Fold_1","rf","Internal","AUC_CI_Lower",1
"Fold_1","rf","Internal","AUC_CI_Upper",1
"Fold_1","rf","Internal","Brier",0.0247917
"Fold_1","lasso","ffpe","Accuracy",0.790697674418605
"Fold_1","lasso","ffpe","Accuracy_lower",0.639575247905833
"Fold_1","lasso","ffpe","Accuracy_upper",0.89955885332207
"Fold_1","lasso","ffpe","BalancedAccuracy",0.707894736842105
"Fold_1","lasso","ffpe","Kappa",0.289908256880734
"Fold_1","lasso","ffpe","Sensitivity",0.81578947368421
"Fold_1","lasso","ffpe","Specificity",0.6
"Fold_1","lasso","ffpe","AUC",0.852631578947368
"Fold_1","lasso","ffpe","AUC_CI_Lower",0.704303167491866
"Fold_1","lasso","ffpe","AUC_CI_Upper",1
"Fold_1","lasso","ffpe","Brier",0.361254772720809
"Fold_1","glmnet","ffpe","Accuracy",0.837209302325581
"Fold_1","glmnet","ffpe","Accuracy_lower",0.69298912763509
"Fold_1","glmnet","ffpe","Accuracy_upper",0.931947905538531
"Fold_1","glmnet","ffpe","BalancedAccuracy",0.907894736842105
"Fold_1","glmnet","ffpe","Kappa",0.507364975450082
"Fold_1","glmnet","ffpe","Sensitivity",0.81578947368421
"Fold_1","glmnet","ffpe","Specificity",1
"Fold_1","glmnet","ffpe","AUC",0.936842105263158
"Fold_1","glmnet","ffpe","AUC_CI_Lower",0.862397285059665
"Fold_1","glmnet","ffpe","AUC_CI_Upper",1
"Fold_1","glmnet","ffpe","Brier",0.236032502707387
"Fold_1","rf","ffpe","Accuracy",0.813953488372093
"Fold_1","rf","ffpe","Accuracy_lower",0.665985532757587
"Fold_1","rf","ffpe","Accuracy_upper",0.916087600224406
"Fold_1","rf","ffpe","BalancedAccuracy",0.721052631578947
"Fold_1","rf","ffpe","Kappa",0.328125
"Fold_1","rf","ffpe","Sensitivity",0.842105263157895
"Fold_1","rf","ffpe","Specificity",0.6
"Fold_1","rf","ffpe","AUC",0.88421052631579
"Fold_1","rf","ffpe","AUC_CI_Lower",0.76194281986146
"Fold_1","rf","ffpe","AUC_CI_Upper",1
"Fold_1","rf","ffpe","Brier",0.229601674418605
"Fold_1","lasso","organoid","Accuracy",0.705882352941177
"Fold_1","lasso","organoid","Accuracy_lower",0.440417281245663
"Fold_1","lasso","organoid","Accuracy_upper",0.89686448562968
"Fold_1","lasso","organoid","BalancedAccuracy",0.616666666666667
"Fold_1","lasso","organoid","Kappa",0.247787610619469
"Fold_1","lasso","organoid","Sensitivity",0.833333333333333
"Fold_1","lasso","organoid","Specificity",0.4
"Fold_1","lasso","organoid","AUC",0.75
"Fold_1","lasso","organoid","AUC_CI_Lower",0.484345610143794
"Fold_1","lasso","organoid","AUC_CI_Upper",1
"Fold_1","lasso","organoid","Brier",0.413707496507646
"Fold_1","glmnet","organoid","Accuracy",0.823529411764706
"Fold_1","glmnet","organoid","Accuracy_lower",0.565682127155716
"Fold_1","glmnet","organoid","Accuracy_upper",0.962014931929374
"Fold_1","glmnet","organoid","BalancedAccuracy",0.758333333333333
"Fold_1","glmnet","organoid","Kappa",0.548672566371681
"Fold_1","glmnet","organoid","Sensitivity",0.916666666666667
"Fold_1","glmnet","organoid","Specificity",0.6
"Fold_1","glmnet","organoid","AUC",0.85
"Fold_1","glmnet","organoid","AUC_CI_Lower",0.633205934970587
"Fold_1","glmnet","organoid","AUC_CI_Upper",1
"Fold_1","glmnet","organoid","Brier",0.33069475790844
"Fold_1","rf","organoid","Accuracy",0.647058823529412
"Fold_1","rf","organoid","Accuracy_lower",0.383283663443403
"Fold_1","rf","organoid","Accuracy_upper",0.857902516889779
"Fold_1","rf","organoid","BalancedAccuracy",0.458333333333333
"Fold_1","rf","organoid","Kappa",-0.108695652173913
"Fold_1","rf","organoid","Sensitivity",0.916666666666667
"Fold_1","rf","organoid","Specificity",0
"Fold_1","rf","organoid","AUC",0.683333333333333
"Fold_1","rf","organoid","AUC_CI_Lower",0.411185413735529
"Fold_1","rf","organoid","AUC_CI_Upper",0.955481252931138
"Fold_1","rf","organoid","Brier",0.409878117647059
"Fold_2","lasso","Internal","Accuracy",0.9875
"Fold_2","lasso","Internal","Accuracy_lower",0.932312215536078
"Fold_2","lasso","Internal","Accuracy_upper",0.999683577472367
"Fold_2","lasso","Internal","BalancedAccuracy",0.991666666666667
"Fold_2","lasso","Internal","Kappa",0.967213114754098
"Fold_2","lasso","Internal","Sensitivity",0.983333333333333
"Fold_2","lasso","Internal","Specificity",1
"Fold_2","lasso","Internal","AUC",0.993333333333333
"Fold_2","lasso","Internal","AUC_CI_Lower",0.97976092359808
"Fold_2","lasso","Internal","AUC_CI_Upper",1
"Fold_2","lasso","Internal","Brier",0.0300673143375639
"Fold_2","glmnet","Internal","Accuracy",0.9875
"Fold_2","glmnet","Internal","Accuracy_lower",0.932312215536078
"Fold_2","glmnet","Internal","Accuracy_upper",0.999683577472367
"Fold_2","glmnet","Internal","BalancedAccuracy",0.991666666666667
"Fold_2","glmnet","Internal","Kappa",0.967213114754098
"Fold_2","glmnet","Internal","Sensitivity",0.983333333333333
"Fold_2","glmnet","Internal","Specificity",1
"Fold_2","glmnet","Internal","AUC",0.9925
"Fold_2","glmnet","Internal","AUC_CI_Lower",0.977334840121724
"Fold_2","glmnet","Internal","AUC_CI_Upper",1
"Fold_2","glmnet","Internal","Brier",0.0403767393074304
"Fold_2","rf","Internal","Accuracy",0.975
"Fold_2","rf","Internal","Accuracy_lower",0.912592844069408
"Fold_2","rf","Internal","Accuracy_upper",0.99695791383519
"Fold_2","rf","Internal","BalancedAccuracy",0.983333333333333
"Fold_2","rf","Internal","Kappa",0.935483870967742
"Fold_2","rf","Internal","Sensitivity",0.966666666666667
"Fold_2","rf","Internal","Specificity",1
"Fold_2","rf","Internal","AUC",0.985
