"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD","type"
"TCGA.3M.AB46.01",5.92181003165235,7.83709529545368,8.03216721059691,11.9376013005178,5.36652682742966,9.40989027905346,6.91453316035787,10.6797307913205,7.47281349620371,3.42736810051954,7.79018061725845,5.69228545213616,8.15155037364876,9.1089667200081,5.20134757871411,7.10623068743278,6.12793890238613,5.15265051283643,10.6939792358362,"Cancer"
"TCGA.3M.AB47.01",5.3737599823334,8.34629921596748,8.88092135883412,9.79268041598948,5.95663770757474,8.26809130868111,8.47580366977482,8.94559425321366,6.51737725257525,4.46095666602217,9.74691392622403,6.03417488305865,6.18109746327994,8.63654164376793,5.1039519377089,8.66518700517935,8.32863513851204,5.77428893648951,8.24396656099408,"Cancer"
"TCGA.B7.5816.01",5.58229227687503,8.93367528047789,8.72418046642973,10.1233954660964,5.61342196626833,8.27797796532426,7.7265695534024,9.43265318689737,6.72170767403885,3.42241288792529,8.4833498957392,5.9297127493915,8.0950780233882,8.82720786230052,5.51890276471029,6.56135334006365,7.39859398291094,4.5757165598823,11.3966805295083,"Cancer"
"TCGA.B7.5818.01",5.02642621918789,8.177853291478,8.27590959378989,10.4573450868293,5.67998789641765,8.2985956029422,6.2544324082937,9.46553627280825,6.80663303087254,3.07599476248883,7.38291325717712,5.8585335325848,7.3787083603982,7.89638291077432,5.16174183218694,5.54600200145859,4.11189973090221,4.87123636352224,11.447355150708,"Cancer"
"TCGA.B7.A5TI.01",6.41532535035296,8.10502546655215,8.52418285872974,10.7438861374835,5.93560202244633,7.84825014114302,7.50105642367857,10.1470949293424,6.921925825267,3.63425154735752,8.3282589518297,5.66078526503797,7.23094409142001,8.30988286793949,5.18025239405167,6.59121633092082,6.63168468522065,5.24559658960102,10.296626120331,"Cancer"
"TCGA.B7.A5TJ.01",6.30242070272571,8.77499421249699,8.5289419944524,10.4619799052083,5.72927679672854,9.37012845632239,7.88225628789472,9.62202517098925,7.31098412521519,3.9164287913942,8.42401775685598,5.51214269120165,7.82754663290565,9.1327700545216,5.88658879989494,6.31867890933918,5.37296549531547,5.13696668436916,9.09382092960632,"Cancer"
"TCGA.B7.A5TK.01",5.37616805899427,9.19474979664493,8.25245831011556,10.5620194630083,5.70755056607187,8.58010734304756,7.41153483452147,9.15048805590854,6.52374105293882,5.81760407913836,9.0244374810148,6.17909001413342,8.65656938220547,8.09124622712326,5.2115181402381,6.83204746559676,6.93740275876712,4.98373318118047,13.3664274134698,"Cancer"
"TCGA.B7.A5TN.01",5.50543995509579,8.6400311291836,8.32722046315055,10.0036344922602,5.46118624077285,9.05975415086451,8.15853153895918,9.61392486272272,7.23934229303662,3.67014275808968,8.28748296022469,5.85398008335758,7.39169562543625,8.9909807326282,5.6921084870324,7.8742745473451,7.29186361011258,4.94955024703822,11.4455436544579,"Cancer"
"TCGA.BR.4187.01",5.73185684921796,9.14213112423933,8.72215904963831,9.12803412377307,5.72575685647531,8.35659805503696,9.83119201541197,8.95910417796676,7.10154370085229,7.56228894933991,9.22519503996542,5.96108767437248,7.46088606211847,7.44610072199576,4.97178044776851,8.29768315886801,10.8006234297121,5.77127560852539,8.11966155171386,"Cancer"
"TCGA.BR.4257.01",5.29756105208539,8.48585977685202,9.11090209250439,10.8972190462134,5.70438133622244,8.47266055175757,7.33659303854855,9.99048975071083,6.56752967337898,3.10156762901404,9.62792901913725,5.56757109719994,8.34813339746773,9.11819942828256,5.17889325671802,6.58727257576206,7.84926366574625,5.0044383275739,8.34997186369051,"Cancer"
