"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD","type"
"TCGA.BR.6453.11",5.67710961543497,8.54216431466977,8.82462658515279,9.13875995140799,5.80131321931386,8.18701829386581,7.14165313974105,9.26918210522608,6.25466097547441,8.89674647975628,9.41805092814538,5.97052277336531,6.65479211229086,7.81759714122982,5.0479168552312,6.38315767641155,9.79646609925692,5.22942723320607,9.79719370274442,"Normal"
"TCGA.BR.6454.11",5.9630597696586,9.30934369623713,8.65397449026344,8.8726303333679,5.56157947445927,8.00057490622979,7.07736623077225,8.68513180039752,6.26290232520586,9.58517648615815,8.63710111418499,6.14051570134095,6.28946186970644,7.68987156490998,5.29900190537347,6.60445387833293,8.7123139390405,4.96691258072443,10.585094630628,"Normal"
"TCGA.BR.6457.11",5.60852142222065,8.40166680737115,8.91869027105173,8.64046618029608,5.81171944724685,8.08552064024654,7.1676618941932,8.7897260908234,6.10499161459737,8.53557747356413,9.36818191090423,6.02640639153669,6.4135589642552,7.611327416712,4.94131632946534,7.07079288826527,8.8979736793776,4.97583761372366,8.45523844950089,"Normal"
"TCGA.BR.6458.11",5.86815056121548,7.88493178090826,8.74735228345573,8.69284334985962,5.97045717419534,8.00487945526451,7.35400791833439,9.06280370442308,6.3169561256569,8.4451954326678,9.50081362507841,6.01831014540175,7.1050022948543,7.40485681704498,5.0615391272414,6.7134699590301,8.15877172520833,5.00843266591351,9.69421789045374,"Normal"
"TCGA.BR.6564.11",5.76905797144988,8.84044514707406,8.78254018778973,8.88922575713566,5.69581406413836,8.0630505281305,7.62327945613556,8.98434141066143,6.20965024541793,9.2052156123318,9.26745845619639,6.0788990532178,6.08670865075088,7.46715545201172,5.08395899515911,6.74327010895025,10.0762438365206,5.06297069664978,10.2019391375712,"Normal"
"TCGA.BR.6802.11",5.88716547613644,7.61587890211005,9.00576841254074,9.94815565421434,6.05116594314032,7.61799096524515,7.22367334133358,10.0475742840045,6.53887087998666,9.72824904852993,9.60964054403922,5.67317625197515,6.43765028053436,8.06638566794118,4.81946262539347,6.0419902775362,9.36347839478162,5.36874705792331,9.63653622373656,"Normal"
"TCGA.BR.6852.11",6.34512123396021,8.2338761029309,9.02902598898797,9.58767852915499,6.14053260907538,7.88390536071081,7.10233627625757,9.80367726225756,6.47226658063657,6.63030567181846,9.28593587112477,5.84921802390689,6.70929013149466,7.95691104953725,5.2825495277242,6.44261012006808,8.26609341001512,5.04646832023274,10.6685862258289,"Normal"
"TCGA.BR.7704.11",5.76126688770648,9.40307737534548,8.28593659691279,7.71079057622629,5.63556683969752,8.39130092178853,8.07707857404087,8.23478540022312,5.90440251648024,9.98905946908557,8.80963519874041,6.11368494856036,6.0383063928956,7.2061290775125,5.10457447976439,6.85219677965083,10.6564830786031,5.34148575749026,10.1033785673452,"Normal"
"TCGA.BR.7715.11",5.69668867814552,8.34444051870596,8.71212451357622,9.14880884735237,5.99271338977004,8.04246632877138,7.49418363772593,9.25174841640857,6.18692808222782,8.24197854741617,9.21913774560233,6.31883945788042,6.85805755998811,7.30348244015399,5.65110300601139,6.64957432893802,9.43688284172304,5.15754487077904,11.1459050448198,"Normal"
"TCGA.BR.7716.11",6.0423304949524,8.93540126917479,8.63203438622025,8.96414822154193,5.88739483175826,7.97158474710514,7.46235280396122,9.20923943098109,6.29199476229299,9.46817558871318,9.32763711454653,5.91372525786537,6.7758725839767,7.83770609455774,5.21272395143828,6.63000900674725,9.27557584042222,5.11183640933817,10.482369705222,"Normal"
"TCGA.BR.7717.11",5.78357812469686,8.69017379734302,8.78785229976297,9.2532457916145,6.08741353648495,8.09195936736885,7.57133642202103,9.42257900669699,6.13836025660967,9.3209693369271,9.23951199996732,6.17926055212094,6.36719905751498,7.35630921740382,5.40139388643743,6.37314382823423,9.12381110792358,5.17948767228076,11.5373755751475,"Normal"
"TCGA.BR.7851.11",5.74836634529717,7.76094595607832,8.96177249553015,8.9810894705041,5.83529713637604,8.21961212108995,7.19555285385023,9.04898638601534,6.16251652811978,8.38501772502372,9.69467054536352,5.78448611363966,6.57940864960927,7.81209323235415,5.32115076017071,5.86170709092851,9.02823468067013,5.22161652143054,10.3072086429554,"Normal"
"TCGA.CG.5720.11",5.8188226994787,8.1975769106325,8.87080798672451,9.1723606272454,5.76359206986208,8.30615354243469,7.03246280340221,8.99765217471801,6.32596775169513,7.29846881096171,9.1737707510194,6.04276299716272,6.1297849132779,8.19921165582687,5.18953140370761,6.41392927798867,8.55399753741838,4.9101681702124,10.5259015937192,"Normal"
"TCGA.CG.5721.11",6.06786306305189,8.03964601078367,8.98418880494564,9.37904670042543,5.86631840105725,8.1526593568524,7.11389259656909,9.59661695240716,6.65010877491285,7.59133761428996,9.14684578959251,5.94790022401244,6.16033600304885,7.64092087291431,5.00643786829461,6.23901585325847,9.0552214065748,5.03296789923117,9.94388018524899,"Normal"
"TCGA.CG.5722.11",5.9156417956813,9.10169825028839,8.50690195653507,8.86906295247533,5.67575499987928,8.13414480474051,7.18849672689759,8.49812200197034,6.2415411271627,9.13107489443154,8.8574115381122,6.05783133232297,6.54735857505479,7.88924778199152,5.17107386389247,6.46588888910942,8.9488753842573,5.08894153144837,9.85296047388294,"Normal"
"TCGA.CG.5728.11",5.80913827868846,7.77878337777515,8.75833732748592,9.31548504858905,5.93225266448436,8.10474749513156,7.05326627613512,9.16743618258134,6.34348567694296,7.05079532963416,9.06520194211109,6.56570706728127,6.21674988084604,7.52386219892991,5.35589732300543,6.5469374324158,8.82413236509756,4.68765164776885,11.262360429264,"Normal"
"TCGA.CG.5730.11",5.53765271390225,7.97491198475993,8.89651749840336,9.10918952310758,5.74383972034513,8.12092312658552,6.89309247086074,9.34380623252048,5.91681895477523,7.40280886660433,9.30754271983484,5.85607477793616,6.18945574669011,8.26192108340846,5.03879811039075,6.51488512078901,9.22894118715887,5.04894553191539,9.11215306594045,"Normal"
"TCGA.CG.5733.11",5.79149738782499,8.07386334335581,8.7722098539899,9.05059420449231,5.90445871314716,7.9628563980598,7.29617575423886,9.21917483241894,6.37827285374634,8.007117326975,9.2056266445467,6.12568865378668,6.47743261830799,8.13278329672583,5.20143584385507,6.94701637913901,8.97198903686604,4.94645499080573,10.34913528928,"Normal"
"TCGA.CG.5734.11",5.83755688970103,7.70753539553208,8.83823575066956,9.00396245353283,5.48640056263765,8.76087215128578,7.06830034451859,9.11258473818022,6.22624229270987,7.82519740136533,9.53668595537897,5.87552769412735,6.39847069096871,8.74412654113911,5.11967708784652,6.32655206778347,9.56547629572427,5.13868255706236,9.41462334677589,"Normal"
"TCGA.FP.7735.11",5.72490946339804,10.1214966402491,8.80351638984754,8.26994774371111,5.66687978466012,8.25538483387634,7.72843897950131,7.18397657737127,5.67296892144401,10.6582704932093,8.77561371341219,6.2686293604547,4.17747828145103,4.39309261091943,4.98691183363013,7.15287501279999,10.1807809535636,5.42295109998817,8.10669533523359,"Normal"
"TCGA.FP.7829.11",5.6280024935453,9.52342835919919,8.72765158347672,6.7996357546468,5.58779942466205,7.67555998555859,7.67763484008753,8.01498283932776,5.86212209396578,11.1770532365652,8.70333621043331,5.95965139098471,3.66692779919081,4.81885110859657,5.22565255077592,6.82520586485024,10.2840440901318,5.21135821976165,5.54515893576788,"Normal"
"TCGA.HU.8238.11",6.11253946989159,7.33126338756051,9.14642481275208,8.53844251412812,5.87394978244993,8.41338724095849,6.76137044704475,8.88837802144074,5.98237075802428,6.89457059098913,10.0934615140523,5.7313511217747,5.8414139097755,8.32492473106993,5.70288123612709,5.63807363372048,8.37732917823261,4.85487770926898,9.56887868478992,"Normal"
"TCGA.HU.A4G3.11",5.26850676520335,9.76559078609583,8.55159464746331,8.35922904301195,5.85483553424417,7.77412999238489,7.7604777265501,6.97759858939977,5.62604641873776,10.5911222032888,8.98272340674689,6.16223036160088,3.8849776091885,4.59111721078002,4.91397166977956,6.2732099489374,10.601918994228,5.39171904891185,6.77118641312426,"Normal"
"TCGA.HU.A4GC.11",5.32673010441452,9.65097391047421,8.69392949791698,8.8435333941085,5.76725881625643,7.98545410245708,8.78980354523772,7.38267961281776,5.94743386627618,10.9974114040028,9.10813914425959,6.34956629045039,4.45246779697419,5.03928161854257,5.1355012505589,6.6786704884327,10.3853153089919,5.31636887438439,7.47585261954619,"Normal"
"TCGA.HU.A4GH.11",5.57501426883326,9.48747877553414,8.5330955599039,8.82356492794279,5.78229794551888,7.99609660005594,8.16613385258341,6.30666750882588,5.73239652391654,10.740831922004,8.82505265863705,6.29081636185722,4.85747592857302,4.92711410814838,5.16434907596487,6.71987839209218,10.968192269705,5.54180373239523,7.84791119452033,"Normal"
"TCGA.HU.A4GN.11",5.59613496776791,9.44938888896227,8.51627758120338,8.58904284290899,5.72463017134804,7.92256864804608,7.64043047332085,7.49554967622887,5.78651894487056,10.1482215159074,8.55887181705574,6.23370532815506,4.99297230970803,7.03192850237409,5.1529692305235,6.00334946415714,9.97466466441995,5.05835232268411,8.95451410760447,"Normal"
"TCGA.HU.A4GP.11",5.45296856769028,9.86093332820722,8.59803835502159,8.41985444478664,5.75476594922462,7.90905554395422,7.87697860363662,7.62194933383344,5.83301435886706,10.3746830601759,9.01764914167984,6.41596217956554,4.72575334985637,6.0773835868246,4.97851831774162,6.87987821050461,10.8335923017548,5.45522118886157,6.30050834004828,"Normal"
"TCGA.HU.A4GY.11",5.64456015592844,9.71688879644618,8.60792206662826,8.72876755675538,5.92087768972934,7.95664460930469,8.09603678147633,7.23518775125983,6.04486390893859,10.5107999399386,8.9446435381263,6.2085052304662,4.35794990728224,5.51424769595159,5.03260403043476,7.02440021083623,11.3737445586049,5.26252650423915,8.38158264731282,"Normal"
"TCGA.HU.A4HB.11",5.49445868829045,9.99893065205032,8.56361800150573,8.51969463265996,5.7223847398197,7.84698569287136,7.83969642155314,7.11161133248612,5.40681454562361,10.2431748306184,8.90924172743366,6.15306650686914,5.2403818718642,6.82971544940617,4.66557679695219,6.15442690705514,10.2326535295936,5.25015213156896,6.1206419321363,"Normal"
"TCGA.IN.7806.11",5.95018768592205,8.61215936188225,8.71811725213314,8.91410248650463,5.4666454147769,8.01020253612937,6.61325393522426,8.93277270537649,6.12293518959472,8.37124402115827,8.13461333233436,6.10890372190358,5.46792041677208,7.0681291163582,5.30890128332542,7.48395712827085,8.44979446096056,5.17301291147381,4.65055531167906,"Normal"
"TCGA.IN.8462.11",5.98795268734729,8.63920973374226,8.79955399284394,9.35022864086623,5.84989193628421,7.90444621948236,6.67196892063442,8.5874395153676,6.07574642185573,8.65144699119044,8.25464555564396,5.79627209035431,5.90743895501856,7.15080514418091,5.46494659057049,7.22700026419649,8.34143499688815,5.23831653656653,9.30874605368482,"Normal"
"TCGA.IN.8663.11",5.85488554346787,8.1269035236738,8.66633684951705,9.43501006356886,5.65377261349106,7.8420738275603,6.57662235767219,9.12369540536804,6.03115047590494,7.72983381442524,7.81772271830879,5.67705574334638,5.31830428691109,6.78729528974636,5.24933687017508,7.92927184928326,7.86311070385994,5.19453190779763,7.22988504391694,"Normal"
"TCGA.IN.AB1V.11",6.01607991406471,8.98637406305055,8.62298464090692,8.93079863420843,5.43123509017654,7.87242499754001,6.94452291799544,8.3828646587951,6.00748197633055,9.40452895901221,8.40423443470777,5.82986956372589,5.60133037729666,6.62628685557317,5.33726183055977,7.36698299723007,8.75061734986482,5.27519530846307,5.99727308154155,"Normal"
"TCGA.IN.AB1X.11",5.82876828618522,8.45614644041441,8.6759648552417,9.03806890594765,5.51846101093495,7.93030668646285,6.85293990982411,8.8407352617805,6.08882129328625,8.78254595915455,8.01046639911806,5.95230712462247,5.78570892384071,6.31896476693798,5.52976258234914,8.42753794526808,9.70307546983257,5.2906715501284,5.85859788646131,"Normal"
"TCGA.IP.7968.11",5.73684589457763,8.76119112784459,8.40473793717107,9.1956352707306,5.77291799809562,7.80664410726487,7.39408494814005,8.64352633468868,5.88780556297779,8.97658540500122,7.36498508106199,5.93219513461884,5.70007488300908,7.74166426124814,5.57491990606181,7.65852278740025,9.63234981312184,4.99843267963669,8.79598722876509,"Normal"
