"","ABCB6","ACTN1","ATP5F1A","CKS1B","COX18","DDX27","GASK1B","GMNN","KNOP1","MAMDC2","ME2","MOB3A","NFE2L3","PLPP2","RELL2","SLC24A3","SRPX","ST7L","UBD"
"TCGA.BR.6453.11",5.73064500077987,8.13949863110364,8.93308577776017,9.09019419289982,5.77296014427286,8.14964506793975,6.91044681862855,9.37119961672977,6.23538192044956,9.42058390076718,9.46675885240823,6.09122682079661,6.10434578307477,8.40851205346082,4.99301740532268,6.28090491703903,9.81355069548296,5.35712529772514,9.56010693180617
"TCGA.BR.6454.11",6.02327469394539,9.23303526539512,8.82522972664388,8.64864378150569,5.53884575800915,8.04984001992762,6.73705578358663,8.69373753087974,6.26214731893592,10.0030780516944,8.854890426694,6.31164964821165,5.73733781182863,8.24116804114272,5.19759271620913,6.42925316387541,8.91657581017883,4.87318611633495,10.4518575933558
"TCGA.BR.6457.11",5.69572025587324,7.9923506969738,8.98659843016323,8.46542338956829,5.78780858937371,8.09299970097809,6.92880822656236,8.74943080586533,6.09232530145341,9.26280655187104,9.4587986169659,6.1390993101993,5.82187769097808,8.13503746073335,4.88735673019993,6.94112182550316,9.28799985789205,4.909608387721,6.44685651828283
"TCGA.BR.6458.11",5.95555699427933,7.77890679742223,8.87145977464738,8.50378677119253,5.94452874413718,8.05079025722337,7.12461635679508,9.04100758396015,6.33540495488036,8.96028586383488,9.49890809279261,6.10825068828765,6.26011317670188,7.72001082995443,5.01023870771098,6.58325333757351,7.37566616657433,4.99161508420567,9.49539169304795
"TCGA.BR.6564.11",5.81457671210734,8.68278628159622,8.89640967350617,8.65991349213469,5.65755941241691,8.08192321139446,7.28425193138282,8.88799782393379,6.1985738831359,9.56179130126343,9.35111842477431,6.23225523066004,5.33594401922429,7.87368626597732,5.01604198751122,6.67792812460163,9.9550256741486,5.10454609245166,9.7678772013318
"TCGA.BR.6802.11",5.9805926902645,7.4919052883434,9.08994098219676,10.8683261981834,6.03108955570176,7.58389022737385,7.06578225384943,11.2894512325152,6.51939449591407,10.3724021652791,9.61779146642144,5.10899843412141,5.8484192568498,8.58899744481065,4.82881122335382,6.01800363422041,9.60966229123774,5.43749024528861,9.48462062809508
"TCGA.BR.6852.11",6.40419731712699,7.95602237016624,9.10264143165717,9.65198701322123,6.1338721813372,7.97503058081175,6.73801371323055,9.99130503647526,6.45723238983675,7.35433526066606,9.36988730741187,6.01563484193121,6.14533516933396,8.50677568347529,5.18458946470111,6.32339275396256,7.45342226133078,5.0388201578132,10.4662297229095
"TCGA.BR.7704.11",5.78281357313563,9.59095164080604,8.66846214828038,7.45610305098051,5.56719127204622,8.30809477211799,7.83727320073203,7.82758885277695,5.88336695413925,10.7339856675156,8.95872469040883,6.25946326334606,5.31732940651405,7.21126490437081,5.01776667559904,6.71356211581442,10.8274635863521,5.43431248086377,9.74753328499311
"TCGA.BR.7715.11",5.73323235560605,7.97480976571375,8.85271556823959,9.09907687424388,5.94835525396678,8.06018923419193,7.20914732879815,9.35995932776788,6.16473838315021,8.85048513539879,9.26892536291109,6.39899995862835,6.16310499526369,7.25967010569891,5.62008689427441,6.47723683363505,9.73893586554792,5.16859940621127,10.7868098179816
"TCGA.BR.7716.11",6.13684390293372,8.77982262992378,8.81388741573187,8.81543055947513,5.87502010090545,8.02514855804771,7.1541998315626,9.12581907535179,6.29580680102043,9.87626094349648,9.38041292468753,6.0376330048112,6.15907597135954,8.41777396376921,5.13276396180698,6.44449035135677,9.58187823306608,5.15871898465165,10.113528790544
"TCGA.BR.7717.11",5.8224717628733,8.39288268724159,8.90089058190979,9.22254071679374,6.03300011245202,8.09525976857399,7.21227347325353,9.63146345736908,6.10749726653138,9.68916074303016,9.2899465962303,6.34549302270175,5.77494280573874,7.36688402553598,5.35051353404369,6.1951659464326,9.40391146368553,5.24560135092265,11.2688544293082
"TCGA.BR.7851.11",5.78019902949276,7.65639935213116,8.9978526746271,8.82455559638732,5.79107354769802,8.17601965101995,6.99768678235199,8.98850370991043,6.11589936853126,8.94265457489183,9.62630728441776,5.91553909395583,6.10120819464843,8.31708227676387,5.2605515907762,5.88775367905726,9.3165648990159,5.32124063497932,9.93643264108607
"TCGA.CG.5720.11",5.9314258501763,7.86865925218441,8.95587700733153,9.11181732882792,5.73493444370587,8.26216439137056,6.61679085916886,8.93954937443595,6.39154413870892,8.07672760971367,9.16983358745105,6.15649426205585,5.36086802450547,8.72741281269087,5.10537629212761,6.29472615024364,8.84643417720754,4.8318627086888,10.1845070102801
"TCGA.CG.5721.11",6.13861499981934,7.79218070046984,9.00659568426495,9.37018472131962,5.86536211122236,8.12955660580543,6.81412624701039,9.68760250630032,6.64839176308975,8.54458391500091,9.07452795489012,6.04648113405453,5.40400451376303,8.20356294888696,4.92134492856817,6.09261688253771,9.39943056224211,5.00939618790479,9.62612666838256
"TCGA.CG.5722.11",6.01850625849245,8.99352901301368,8.7328715069315,8.63083501418732,5.63759864880204,8.11664399502499,6.99047896069013,8.21664846134097,6.22633537815554,9.52663217054237,8.95872469040883,6.17530327485853,5.96352774939261,8.48758133789556,5.08454949459113,6.37340446893037,9.31500816020575,5.13293252844089,9.60203707923393
"TCGA.CG.5728.11",5.8913195591667,7.73431720039996,8.87357512674763,9.25484117978417,5.91436795706,8.10117693391552,6.68931432811597,9.12028203651434,6.409748226438,7.82909152990913,9.03429637308196,6.47468889788384,5.680151805705,7.93355731312835,5.31042481982899,6.41128817012416,9.24967694124563,4.81130978571625,10.8467113112827
