"","x"
"1","Normal"
"2","Normal"
"3","Normal"
"4","Normal"
"5","Normal"
"6","Normal"
"7","Normal"
"8","Normal"
"9","Normal"
"10","Normal"
"11","Normal"
"12","Normal"
"13","Normal"
"14","Normal"
"15","Normal"
"16","Normal"
"17","Normal"
"18","Normal"
"19","Normal"
"20","Normal"
"21","Normal"
"22","Normal"
"23","Normal"
"24","Normal"
"25","Normal"
"26","Normal"
"27","Normal"
"28","Normal"
"29","Normal"
"30","Normal"
"31","Normal"
"32","Normal"
"33","Normal"
"34","Normal"
"35","Normal"
"36","Cancer"
"37","Cancer"
"38","Cancer"
"39","Cancer"
"40","Cancer"
"41","Cancer"
"42","Cancer"
"43","Cancer"
"44","Cancer"
"45","Cancer"
"46","Cancer"
"47","Cancer"
"48","Cancer"
"49","Cancer"
"50","Cancer"
"51","Cancer"
"52","Cancer"
"53","Cancer"
"54","Cancer"
"55","Cancer"
"56","Cancer"
"57","Cancer"
"58","Cancer"
"59","Cancer"
"60","Cancer"
"61","Cancer"
"62","Cancer"
"63","Cancer"
"64","Cancer"
"65","Cancer"
"66","Cancer"
"67","Cancer"
"68","Cancer"
"69","Cancer"
"70","Cancer"
"71","Cancer"
"72","Cancer"
"73","Cancer"
"74","Cancer"
"75","Cancer"
"76","Cancer"
"77","Cancer"
"78","Cancer"
"79","Cancer"
"80","Cancer"
"81","Cancer"
"82","Cancer"
"83","Cancer"
"84","Cancer"
"85","Cancer"
"86","Cancer"
"87","Cancer"
"88","Cancer"
"89","Cancer"
"90","Cancer"
"91","Cancer"
"92","Cancer"
"93","Cancer"
"94","Cancer"
"95","Cancer"
"96","Cancer"
"97","Cancer"
"98","Cancer"
"99","Cancer"
"100","Cancer"
"101","Cancer"
"102","Cancer"
"103","Cancer"
"104","Cancer"
"105","Cancer"
"106","Cancer"
"107","Cancer"
"108","Cancer"
"109","Cancer"
"110","Cancer"
"111","Cancer"
"112","Cancer"
"113","Cancer"
"114","Cancer"
"115","Cancer"
"116","Cancer"
"117","Cancer"
"118","Cancer"
"119","Cancer"
"120","Cancer"
"121","Cancer"
"122","Cancer"
"123","Cancer"
"124","Cancer"
"125","Cancer"
"126","Cancer"
"127","Cancer"
"128","Cancer"
"129","Cancer"
"130","Cancer"
"131","Cancer"
"132","Cancer"
"133","Cancer"
"134","Cancer"
"135","Cancer"
"136","Cancer"
"137","Cancer"
"138","Cancer"
"139","Cancer"
"140","Cancer"
"141","Cancer"
"142","Cancer"
"143","Cancer"
"144","Cancer"
"145","Cancer"
"146","Cancer"
"147","Cancer"
"148","Cancer"
"149","Cancer"
"150","Cancer"
"151","Cancer"
"152","Cancer"
"153","Cancer"
"154","Cancer"
"155","Cancer"
"156","Cancer"
"157","Cancer"
"158","Cancer"
"159","Cancer"
"160","Cancer"
"161","Cancer"
"162","Cancer"
"163","Cancer"
"164","Cancer"
"165","Cancer"
"166","Cancer"
"167","Cancer"
"168","Cancer"
"169","Cancer"
"170","Cancer"
"171","Cancer"
"172","Cancer"
"173","Cancer"
"174","Cancer"
"175","Cancer"
"176","Cancer"
"177","Cancer"
"178","Cancer"
"179","Cancer"
"180","Cancer"
"181","Cancer"
"182","Cancer"
"183","Cancer"
